Name,Alias
"acetyl glutamic acid","acetylglutamic acid"
"l-n-acetylglutamic acid","acetylglutamic acid"
"n-acetyl-l-glutamic acid","acetylglutamic acid"
"n-acetylglutamate","acetylglutamic acid"
"n-acetyl-l-glutamate","acetylglutamic acid"
"n-acetylglutamic acid","acetylglutamic acid"
"nacglu","acetylglutamic acid"
"acetylsalicylic acid","acetylsalicylic acid"
"2-acetoxybenzoic acid","acetylsalicylic acid"
"asa","acetylsalicylic acid"
"aspirin","acetylsalicylic acid"
"o-acetylsalicylic acid","acetylsalicylic acid"
"ada","ada"
"ada/naoh","ada"
"n-(2-acetamido)iminodiacetic acid","ada"
"n-(carbamoylmethyl)iminodiacetic acid","ada"
"adenosine","adenosine"
"adenine riboside","adenosine"
"desoxyadenosine","adenosine"
"deoxyadenosine","adenosine"
"adenosine diphosphate","adenosine diphosphate"
"adp","adenosine diphosphate"
"adenosine 5'-diphosphate sodium salt","adenosine diphosphate"
"na2adp","adenosine diphosphate"
"disodium adenosine diphosphate","adenosine diphosphate"
"sodium adp","adenosine diphosphate"
"adenosine diphosphateglucose","adenosine diphosphateglucose"
"adp-glucose","adenosine diphosphateglucose"
"adp-glc","adenosine diphosphateglucose"
"adpg","adenosine diphosphateglucose"
"adenosine-5'-diphosphoglucose disodium salt","adenosine diphosphateglucose"
"adenosine diphosphoribose","adenosine diphosphoribose"
"adp-ribose","adenosine diphosphoribose"
"adenosine 5'-diphosphoribose","adenosine diphosphoribose"
"adenosine 5'-diphosphoribose sodium salt","adenosine diphosphoribose"
"adenosine monophosphate","adenosine monophosphate"
"149022-20-8","adenosine monophosphate"
"5'-amp","adenosine monophosphate"
"5'-adenylic acid","adenosine monophosphate"
"a-5'-p","adenosine monophosphate"
"amp","adenosine monophosphate"
"adenosine 5'-monophosphate sodium salt","adenosine monophosphate"
"adenosine-5'-monophosphate","adenosine monophosphate"
"ergadenylic acid","adenosine monophosphate"
"adenosine monop","adenosine monophosphate"
"sodium adenosine monophosphate","adenosine monophosphate"
"adenosine triphosphate","adenosine triphosphate"
"atp","adenosine triphosphate"
"atp disodium salt","adenosine triphosphate"
"atp, sodium salt","adenosine triphosphate"
"adenosine 5'-triphosphate disodium salt hydrate","adenosine triphosphate"
"na2atp","adenosine triphosphate"
"adenosine-5-triphosphate disodium salt","adenosine triphosphate"
"sodium atp","adenosine triphosphate"
"adipic acid","adipic acid"
"butane-1,4-dicarboxylic acid","adipic acid"
"hexanedioic acid","adipic acid"
"adr peptide","adr peptide"
"ala-ala","ala-ala"
"(2s)-2-[[(2s)-2-aminopropanoyl]amino]propanoic acid","ala-ala"
"l-alanyl-l-alanine","ala-ala"
"ala-ala-ala","ala-ala-ala"
"l-alanyl-l-alanyl-l-alanine","ala-ala-ala"
"tri-l-alanine","ala-ala-ala"
"alanyl-alanyl-alanine","ala-ala-ala"
"ala-gln","ala-gln"
"alanyl glutamine","ala-gln"
"alanyl-glutamine","ala-gln"
"alanylglutamine","ala-gln"
"glutamine-s","ala-gln"
"l-alanyl-l-glutamine","ala-gln"
"ala-gly","ala-gly"
"2-(2-aminopropanoylamino)acetic acid","ala-gly"
"l-alanylglycine","ala-gly"
"alanylglycine","ala-gly"
"ala-leu","ala-leu"
"d-ala-leu","ala-leu"
"dl-ala-dl-leu","ala-leu"
"n-(2-aminopropanoyl)leucine","ala-leu"
"dl-alanyl-dl-leucine","ala-leu"
"dl-alanyl-l-leucine","ala-leu"
"alanine","alanine"
"(l,d)-alanine","alanine"
"dl-alanine","alanine"
"l-alanine","alanine"
"ala","alanine"
"alpha-amylase","alpha-amylase"
"amylase","alpha-amylase"
"a-amylase","alpha-amylase"
"alpha-cyclodextrin","alpha-cyclodextrin"
"a-cyclodextrin","alpha-cyclodextrin"
"alpha-ketoglutarate","alpha-ketoglutarate"
"2-oxopentanedioic acid","alpha-ketoglutarate"
"2-ketoglutarate","alpha-ketoglutarate"
"2-ketoglutaric acid","alpha-ketoglutarate"
"2-oxoglutarate","alpha-ketoglutarate"
"2-oxoglutaric acid","alpha-ketoglutarate"
"oxoglutaric acid","alpha-ketoglutarate"
"a-ketoglutaric acid disodium salt","alpha-ketoglutarate"
"alpha-ketoglutaric acid disodium salt","alpha-ketoglutarate"
"alpha-ketoglutaric acid","alpha-ketoglutarate"
"ketoglutarate","alpha-ketoglutarate"
"alpha-lipoic acid","alpha-lipoic acid"
"6,8-dithiooctanoic acid","alpha-lipoic acid"
"dl-1,2-dithiolane-3-pentanoic acid","alpha-lipoic acid"
"dl-6,8-thioctic acid","alpha-lipoic acid"
"dl-a-lipoic acid","alpha-lipoic acid"
"dl-alpha-lipoic acid","alpha-lipoic acid"
"lip(s2)","alpha-lipoic acid"
"thioctic acid","alpha-lipoic acid"
"al's oil","al's oil"
"aluminium(iii) chloride","aluminium(iii) chloride"
"aluminium trichloride","aluminium(iii) chloride"
"aluminum chloride","aluminium(iii) chloride"
"aluminum trichloride","aluminium(iii) chloride"
"aluminium (iii) chloride","aluminium(iii) chloride"
"aluminium chloride","aluminium(iii) chloride"
"amidosulfobetaine-14","amidosulfobetaine-14"
"asb 14","amidosulfobetaine-14"
"asb-14","amidosulfobetaine-14"
"asb14","amidosulfobetaine-14"
"ammonium acetate","ammonium acetate"
"am(oac)","ammonium acetate"
"amac","ammonium acetate"
"nh4 ac","ammonium acetate"
"nh4 acetate","ammonium acetate"
"nh4-acetate","ammonium acetate"
"nh4oac","ammonium acetate"
"am acetate","ammonium acetate"
"am-acetate","ammonium acetate"
"ammonium bromide","ammonium bromide"
"ammonium chloride","ammonium chloride"
"amcl","ammonium chloride"
"ammoniumchlorid","ammonium chloride"
"salmiac","ammonium chloride"
"sal ammoniac","ammonium chloride"
"smelling salts","ammonium chloride"
"ammonium citrate","ammonium citrate"
"nh4 citrate","ammonium citrate"
"am citrate","ammonium citrate"
"ammonium dihydrogen phosphate","ammonium dihydrogen phosphate"
"nh4 dihydrogen phosphate","ammonium dihydrogen phosphate"
"nh4-dihydrogenphosphate","ammonium dihydrogen phosphate"
"nh4-dihyrogenphosphate","ammonium dihydrogen phosphate"
"amh2phosphate","ammonium dihydrogen phosphate"
"amh2po4","ammonium dihydrogen phosphate"
"ammonium di-hydrogen phosphate","ammonium dihydrogen phosphate"
"ammonium dihydrogen monophosphate","ammonium dihydrogen phosphate"
"ammonium phosphate (monobasic)","ammonium dihydrogen phosphate"
"ammonium phosphate monobasic","ammonium dihydrogen phosphate"
"ammonium phosphate, monobasic","ammonium dihydrogen phosphate"
"dihydrogen ammonium phosphate","ammonium dihydrogen phosphate"
"mono-ammonium dihydrogen phosphate","ammonium dihydrogen phosphate"
"ammonium dihydrogen phosphate-diammonium hydrogen phosphate","ammonium dihydrogen phosphate-diammonium hydrogen phosphate"
"(nh4)2h / (nh4)h2 phosphate","ammonium dihydrogen phosphate-diammonium hydrogen phosphate"
"ammonium fluoride","ammonium fluoride"
"am fluoride","ammonium fluoride"
"ammonium formate","ammonium formate"
"amfo","ammonium formate"
"nh4-formate","ammonium formate"
"am formate","ammonium formate"
